;,ident,int,double,bool,string,[,],Ɛ,const,(,),void,",",class,:,{,},interface,if,else,while,for,return,break,Console,.,Writeline,&&,==,<,<=,+,*,%,=,this,-,!,New,intConstant,doubleConstant,boolConstant,stringConstant,null,$,Program',Program,Decl,VariableDecl,Variable,Type,Type',ConstDecl,ConstType,FunctionDecl,FunctionType,Formals,ClassDecl,ClassHeader,CH',CH'',ClassBody,CB',Field,InterfaceDecl,InterfaceHeader,InterfaceBody,IB',Prototype,StmtBlock,SB',Stmt,Stmt',CallStmt,Actuals,IfStmt,IfHeader,IS',WhileStmt,WhileHeader,ForStmt,ForHeader,ReturnStmt,BreakStmt,PrintStmt,PS',Expr,Expr',Expr1,Expr1',Expr2,Expr2',Expr3,Expr3',Expr4,Expr4',Expr5,LValue,IDENT,Constant,
,s21,s17,s18,s19,s20,,,,s9,,,s14,,s15,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,8,13,,4,,5,10,,6,11,,,,,,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s21,s17,s18,s19,s20,,,,s9,,,s14,,s15,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,22,2,3,8,13,,4,,5,10,,6,11,,,,,,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r3,r3,r3,r3,r3,,,,r3,,,r3,,r3,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r13,r13,r13,r13,r13,,,,r13,,,r13,,r13,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r19,r19,r19,r19,r19,,,,r19,,,r19,,r19,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r25,r25,r25,r25,r25,,,,r25,,,r25,,r25,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r38,r38,r38,r38,r38,,,,r38,,,r38,,r38,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s25,s26,s27,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,s40,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,s40,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,s40,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,s40,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,s40,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r4,r4,r4,r4,r4,,,,r4,,,r4,,r4,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r20,r20,r20,r20,r20,,,,r20,,,r20,,r20,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s73,s17,s18,s19,s20,,,s51,s53,s85,,,,,,s70,,,s74,,s75,s76,s68,s67,s69,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,48,52,63,,49,,,,,,,,,,,,,,,,,60,47,50,62,61,,54,64,,55,65,56,66,58,57,59,,72,,77,,78,,79,,80,,81,82,71,83,
,r26,r26,r26,r26,r26,,,,r26,,,r26,,r26,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s21,s17,s18,s19,s20,,,s96,s102,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,100,13,,99,,98,101,,,,,,,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r39,r39,r39,r39,r39,,,,r39,,,r39,,r39,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s21,s17,s18,s19,s20,,,,,,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5,,,,,,,,,,s106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,s110,,,,,,,s109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,s111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,s113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s73,s17,s18,s19,s20,,,s51,s53,s85,,,,,,s70,,,s74,,s75,s76,s68,s67,s69,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,48,52,63,,49,,,,,,,,,,,,,,,,,60,114,50,62,61,,54,64,,55,65,56,66,58,57,59,,72,,77,,78,,79,,80,,81,82,71,83,
,s73,s17,s18,s19,s20,,,s51,s53,s85,,,,,,s70,,,s74,,s75,s76,s68,s67,s69,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,48,52,63,,49,,,,,,,,,,,,,,,,,60,115,50,62,61,,54,64,,55,65,56,66,58,57,59,,72,,77,,78,,79,,80,,81,82,71,83,
,s73,s17,s18,s19,s20,,,s51,s53,s85,,,,,,s70,,,s74,,s75,s76,s68,s67,s69,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,48,52,63,,49,,,,,,,,,,,,,,,,,60,116,50,62,61,,54,64,,55,65,56,66,58,57,59,,72,,77,,78,,79,,80,,81,82,71,83,
r60,,,,,,,,,,,,,,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s25,s26,s27,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r50,r50,r50,r50,r50,,,r50,r50,r50,,,,,,r50,,,r50,,r50,r50,r50,r50,r50,,,,,,,,,,,r50,r50,r50,r50,r50,r50,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r51,r51,r51,r51,r51,,,r51,r51,r51,,,,,,r51,,,r51,,r51,r51,r51,r51,r51,,,,,,,,,,,r51,r51,r51,r51,r51,r51,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r52,r52,r52,r52,r52,,,r52,r52,r52,,,,,,r52,,,r52,,r52,r52,r52,r52,r52,,,,,,,,,,,r52,r52,r52,r52,r52,r52,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r53,r53,r53,r53,r53,,,r53,r53,r53,,,,,,r53,,,r53,,r53,r53,r53,r53,r53,,,,,,,,,,,r53,r53,r53,r53,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r54,r54,r54,r54,r54,,,r54,r54,r54,,,,,,r54,,,r54,,r54,r54,r54,r54,r54,,,,,,,,,,,r54,r54,r54,r54,r54,r54,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r55,r55,r55,r55,r55,,,r55,r55,r55,,,,,,r55,,,r55,,r55,r55,r55,r55,r55,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r56,r56,r56,r56,r56,,,r56,r56,r56,,,,,,r56,,,r56,,r56,r56,r56,r56,r56,,,,,,,,,,,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r57,r57,r57,r57,r57,,,r57,r57,r57,,,,,,r57,,,r57,,r57,r57,r57,r57,r57,,,,,,,,,,,r57,r57,r57,r57,r57,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s140,,,,,,,s139,,s85,,,,,,s137,,,s74,,s75,s76,s135,s134,s136,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,,,,,,,,,,,,,,,,,,,,,,128,,121,130,129,,122,131,,123,132,124,133,126,125,127,,72,,77,,78,,79,,80,,81,82,138,83,
,s140,,,,,,,s139,,s85,,,,,,s70,,,s74,,s75,s76,s68,s67,s69,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,,,,,,,,,,,,,,,,,,,,,,60,,141,62,61,,54,64,,55,65,56,66,58,57,59,,72,,77,,78,,79,,80,,81,82,71,83,
,s140,,,,,,,s139,,s85,,,,,,s70,,,s74,,s75,s76,s68,s67,s69,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,,,,,,,,,,,,,,,,,,,,,,60,,142,62,61,,54,64,,55,65,56,66,58,57,59,,72,,77,,78,,79,,80,,81,82,71,83,
s143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s146,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,77,,78,,79,,80,,81,82,145,83,
,,,,,,,,,,,,,,,,,,,,,,,,,,s147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s73,s17,s18,s19,s20,,,s51,s53,s85,,,,,,s70,,,s74,,s75,s76,s68,s67,s69,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,48,52,63,,49,,,,,,,,,,,,,,,,,60,148,50,62,61,,54,64,,55,65,56,66,58,57,59,,72,,77,,78,,79,,80,,81,82,71,83,
,,,,,,,,r102,,s149,,,,,,,,,,,,,,,,,,,,,,,r102,r102,r102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r59,,,,,,,,,,,,,,,,,,,,,,,,,,s150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,s40,,s41,,r104,,,,,,,,,,,,,,,,s151,,,,,,,r104,r104,r104,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,s152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,s153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,s154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,s157,,,,,,,,,,,,,,,,,,,,s156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,
,,,,,,,,s160,,,,,,,,,,,,,,,,,,,,,s159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,
,,,,,,,,s164,,,,,,,,,,,,,,,,,,,,,,s162,s163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,
,,,,,,,,s167,,,,,,,,,,,,,,,,,,,,,,,,s166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,
,,,,,,,,s171,,,,,,,,,,,,,,,,,,,,,,,,,s169,s170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,
,,,,,,,,r96,,,,,,,,,,,,,,,,,,,,,,,,,r96,r96,s172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,r95,,,,,,,,,,,,,,,,,,,,,,,,,r95,r95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,r97,,,,,,,,,,,,,,,,,,,,,,,,,r97,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s146,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,174,,78,,79,,80,,81,82,145,83,
,s146,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,176,,78,,79,,80,,81,82,145,83,
,s146,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,s84,s86,s87,s88,s89,s90,s91,s92,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,176,,78,,79,,80,,81,82,145,83,
,,,,,,,,,,s178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,r106,,,,,,,,,,,,,,,,,,,,,,,,,r106,r106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,r107,,,,,,,,,,,,,,,,,,,,,,,,,r107,r107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,r108,,,,,,,,,,,,,,,,,,,,,,,,,r108,r108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,r109,,,,,,,,,,,,,,,,,,,,,,,,,r109,r109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,r110,,,,,,,,,,,,,,,,,,,,,,,,,r110,r110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,s179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s21,s17,s18,s19,s20,,,s96,s102,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,100,13,,99,,98,101,,,,,,,180,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r35,r35,r35,r35,r35,,,r35,r35,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r36,r36,r36,r36,r36,,,r36,r36,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r37,r37,r37,r37,r37,,,r37,r37,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,s183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s25,s26,s27,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,s186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
